Position,Decimal,Appearance
0x04A8,1192,Ҩ
0x04A9,1193,ҩ
0x04AA,1194,Ҫ
0x04AB,1195,ҫ
0x04AC,1196,Ҭ
0x04AD,1197,ҭ
0x04AE,1198,Ү
0x04AF,1199,ү
0x04B0,1200,Ұ
0x04B1,1201,ұ
0x04B2,1202,Ҳ
0x04B3,1203,ҳ
0x04B4,1204,Ҵ
0x04B5,1205,ҵ
0x04B6,1206,Ҷ
0x04B7,1207,ҷ
0x04B8,1208,Ҹ
0x04B9,1209,ҹ
0x04BA,1210,Һ
0x04BB,1211,һ
0x04BC,1212,Ҽ
0x04BD,1213,ҽ
0x04BE,1214,Ҿ
0x04BF,1215,ҿ
0x04C0,1216,Ӏ
0x04C1,1217,Ӂ
0x04C2,1218,ӂ
0x04C3,1219,Ӄ
0x04C4,1220,ӄ
0x04C7,1223,Ӈ
0x04C8,1224,ӈ
0x04CB,1227,Ӌ
0x04CC,1228,ӌ
0x04D0,1232,Ӑ
0x04D1,1233,ӑ
0x04D2,1234,Ӓ
0x04D3,1235,ӓ
0x04D4,1236,Ӕ
0x04D5,1237,ӕ
0x04D6,1238,Ӗ
0x04D7,1239,ӗ
0x04D8,1240,Ә
0x04D9,1241,ә
0x04DA,1242,Ӛ
0x04DB,1243,ӛ
0x04DC,1244,Ӝ
0x04DD,1245,ӝ
0x04DE,1246,Ӟ
0x04DF,1247,ӟ
0x04E0,1248,Ӡ
0x04E1,1249,ӡ
0x04E2,1250,Ӣ
0x04E3,1251,ӣ
0x04E4,1252,Ӥ
0x04E5,1253,ӥ
0x04E6,1254,Ӧ
0x04E7,1255,ӧ
0x04E8,1256,Ө
0x04E9,1257,ө
0x04EA,1258,Ӫ
0x04EB,1259,ӫ
0x04EC,1260,Ӭ
0x04ED,1261,ӭ
0x04EE,1262,Ӯ
0x04EF,1263,ӯ
0x04F0,1264,Ӱ
0x04F1,1265,ӱ
0x04F2,1266,Ӳ
0x04F3,1267,ӳ
0x04F4,1268,Ӵ
0x04F5,1269,ӵ
0x04F8,1272,Ӹ
0x04F9,1273,ӹ
,,
0x0531,1329,Ա
0x0532,1330,Բ
0x0533,1331,Գ
0x0534,1332,Դ
0x0535,1333,Ե
0x0536,1334,Զ
0x0537,1335,Է
0x0538,1336,Ը
0x0539,1337,Թ
0x053A,1338,Ժ
0x053B,1339,Ի
0x053C,1340,Լ
0x053D,1341,Խ
0x053E,1342,Ծ
0x053F,1343,Կ
0x0540,1344,Հ
0x0541,1345,Ձ
0x0542,1346,Ղ
0x0543,1347,Ճ
0x0544,1348,Մ
0x0545,1349,Յ
0x0546,1350,Ն
0x0547,1351,Շ
0x0548,1352,Ո
0x0549,1353,Չ
0x054A,1354,Պ
0x054B,1355,Ջ
0x054C,1356,Ռ
0x054D,1357,Ս
0x054E,1358,Վ
0x054F,1359,Տ
0x0550,1360,Ր
0x0551,1361,Ց
0x0552,1362,Ւ
0x0553,1363,Փ
0x0554,1364,Ք
0x0555,1365,Օ
0x0556,1366,Ֆ
0x0559,1369,ՙ
0x055A,1370,՚
0x055B,1371,՛
0x055C,1372,՜
0x055D,1373,՝
0x055E,1374,՞
0x055F,1375,՟
0x0561,1377,ա
0x0562,1378,բ
0x0563,1379,գ
0x0564,1380,դ
0x0565,1381,ե
0x0566,1382,զ
0x0567,1383,է
0x0568,1384,ը
0x0569,1385,թ
0x056A,1386,ժ
0x056B,1387,ի
0x056C,1388,լ
0x056D,1389,խ
0x056E,1390,ծ
0x056F,1391,կ
0x0570,1392,հ
0x0571,1393,ձ
0x0572,1394,ղ
0x0573,1395,ճ
0x0574,1396,մ
0x0575,1397,յ
0x0576,1398,ն
0x0577,1399,շ
0x0578,1400,ո
0x0579,1401,չ
0x057A,1402,պ
0x057B,1403,ջ
0x057C,1404,ռ
0x057D,1405,ս
0x057E,1406,վ
0x057F,1407,տ
0x0580,1408,ր
0x0581,1409,ց
0x0582,1410,ւ
0x0583,1411,փ
0x0584,1412,ք
0x0585,1413,օ
0x0586,1414,ֆ
0x0587,1415,և
0x0589,1417,։
0x058A,1418,֊
,,
0x0591,1425,֑
0x0592,1426,֒
0x0593,1427,֓
0x0594,1428,֔
0x0595,1429,֕
0x0596,1430,֖
0x0597,1431,֗
0x0598,1432,֘
0x0599,1433,֙
0x059A,1434,֚
0x059B,1435,֛
0x059C,1436,֜
0x059D,1437,֝
0x059E,1438,֞
0x059F,1439,֟
0x05A0,1440,֠
0x05A1,1441,֡
0x05A3,1443,֣
0x05A4,1444,֤
0x05A5,1445,֥
0x05A6,1446,֦
0x05A7,1447,֧
0x05A8,1448,֨
0x05A9,1449,֩
0x05AA,1450,֪
0x05AB,1451,֫
0x05AC,1452,֬
0x05AD,1453,֭
0x05AE,1454,֮
0x05AF,1455,֯
0x05B0,1456,ְ
0x05B1,1457,ֱ
0x05B2,1458,ֲ
0x05B3,1459,ֳ
0x05B4,1460,ִ
0x05B5,1461,ֵ
0x05B6,1462,ֶ
0x05B7,1463,ַ
0x05B8,1464,ָ
0x05B9,1465,ֹ
0x05BB,1467,ֻ
0x05BC,1468,ּ
0x05BD,1469,ֽ
0x05BE,1470,־
0x05BF,1471,ֿ
0x05C0,1472,׀
0x05C1,1473,ׁ
0x05C2,1474,ׂ
0x05C3,1475,׃
0x05C4,1476,ׄ
0x05D0,1488,א
0x05D1,1489,ב
0x05D2,1490,ג
0x05D3,1491,ד
0x05D4,1492,ה
0x05D5,1493,ו
0x05D6,1494,ז
0x05D7,1495,ח
0x05D8,1496,ט
0x05D9,1497,י
0x05DA,1498,ך
0x05DB,1499,כ
0x05DC,1500,ל
0x05DD,1501,ם
0x05DE,1502,מ
0x05DF,1503,ן
0x05E0,1504,נ
0x05E1,1505,ס
0x05E2,1506,ע
0x05E3,1507,ף
0x05E4,1508,פ
0x05E5,1509,ץ
0x05E6,1510,צ
0x05E7,1511,ק
0x05E8,1512,ר
0x05E9,1513,ש
0x05EA,1514,ת
0x05F0,1520,װ
0x05F1,1521,ױ
0x05F2,1522,ײ
0x05F3,1523,׳
0x05F4,1524,״
,,
0x060C,1548,،
0x061B,1563,؛
0x061F,1567,؟
0x0621,1569,ء
0x0622,1570,آ
0x0623,1571,أ
0x0624,1572,ؤ
0x0625,1573,إ
0x0626,1574,ئ
0x0627,1575,ا
0x0628,1576,ب
0x0629,1577,ة
0x062A,1578,ت
0x062B,1579,ث
0x062C,1580,ج
0x062D,1581,ح
0x062E,1582,خ
0x062F,1583,د
0x0630,1584,ذ
0x0631,1585,ر
0x0632,1586,ز
0x0633,1587,س
0x0634,1588,ش
0x0635,1589,ص
0x0636,1590,ض
0x0637,1591,ط
0x0638,1592,ظ
0x0639,1593,ع
0x063A,1594,غ
0x0640,1600,ـ
0x0641,1601,ف
0x0642,1602,ق
0x0643,1603,ك
0x0644,1604,ل
0x0645,1605,م
0x0646,1606,ن
0x0647,1607,ه
0x0648,1608,و
0x0649,1609,ى
0x064A,1610,ي
0x064B,1611,ً
0x064C,1612,ٌ
0x064D,1613,ٍ
0x064E,1614,َ
0x064F,1615,ُ
0x0650,1616,ِ
0x0651,1617,ّ
0x0652,1618,ْ
0x0653,1619,ٓ
0x0654,1620,ٔ
0x0655,1621,ٕ
0x0660,1632,٠
0x0661,1633,١
0x0662,1634,٢
0x0663,1635,٣
0x0664,1636,٤
0x0665,1637,٥
0x0666,1638,٦
0x0667,1639,٧
0x0668,1640,٨
0x0669,1641,٩
0x066A,1642,٪
0x066B,1643,٫
0x066C,1644,٬
0x066D,1645,٭
0x0670,1648,ٰ
0x0671,1649,ٱ
0x0672,1650,ٲ
0x0673,1651,ٳ
0x0674,1652,ٴ
0x0675,1653,ٵ
0x0676,1654,ٶ
0x0677,1655,ٷ
0x0678,1656,ٸ
0x0679,1657,ٹ
0x067A,1658,ٺ
0x067B,1659,ٻ
0x067C,1660,ټ
0x067D,1661,ٽ
0x067E,1662,پ
0x067F,1663,ٿ
0x0680,1664,ڀ
0x0681,1665,ځ
0x0682,1666,ڂ
0x0683,1667,ڃ
0x0684,1668,ڄ
0x0685,1669,څ
0x0686,1670,چ
0x0687,1671,ڇ
0x0688,1672,ڈ
0x0689,1673,ډ
0x068A,1674,ڊ
0x068B,1675,ڋ
0x068C,1676,ڌ
0x068D,1677,ڍ
0x068E,1678,ڎ
0x068F,1679,ڏ
0x0690,1680,ڐ
0x0691,1681,ڑ
0x0692,1682,ڒ
0x0693,1683,ړ
0x0694,1684,ڔ
0x0695,1685,ڕ
0x0696,1686,ږ
0x0697,1687,ڗ
0x0698,1688,ژ
0x0699,1689,ڙ
0x069A,1690,ښ
0x069B,1691,ڛ
0x069C,1692,ڜ
0x069D,1693,ڝ
0x069E,1694,ڞ
0x069F,1695,ڟ
0x06A0,1696,ڠ
0x06A1,1697,ڡ
0x06A2,1698,ڢ
0x06A3,1699,ڣ
0x06A4,1700,ڤ
0x06A5,1701,ڥ
0x06A6,1702,ڦ
0x06A7,1703,ڧ
0x06A8,1704,ڨ
0x06A9,1705,ک
0x06AA,1706,ڪ
0x06AB,1707,ګ
0x06AC,1708,ڬ
0x06AD,1709,ڭ
0x06AE,1710,ڮ
0x06AF,1711,گ
0x06B0,1712,ڰ
0x06B1,1713,ڱ
0x06B2,1714,ڲ
0x06B3,1715,ڳ
0x06B4,1716,ڴ
0x06B5,1717,ڵ
0x06B6,1718,ڶ
0x06B7,1719,ڷ
0x06B8,1720,ڸ
0x06B9,1721,ڹ
0x06BA,1722,ں
0x06BB,1723,ڻ
0x06BC,1724,ڼ
0x06BD,1725,ڽ
0x06BE,1726,ھ
0x06BF,1727,ڿ
0x06C0,1728,ۀ
0x06C1,1729,ہ
0x06C2,1730,ۂ
0x06C3,1731,ۃ
0x06C4,1732,ۄ
0x06C5,1733,ۅ
0x06C6,1734,ۆ
0x06C7,1735,ۇ
0x06C8,1736,ۈ
0x06C9,1737,ۉ
0x06CA,1738,ۊ
0x06CB,1739,ۋ
0x06CC,1740,ی
0x06CD,1741,ۍ
0x06CE,1742,ێ
0x06CF,1743,ۏ
0x06D0,1744,ې
0x06D1,1745,ۑ
0x06D2,1746,ے
0x06D3,1747,ۓ
0x06D4,1748,۔
0x06D5,1749,ە
0x06D6,1750,ۖ
0x06D7,1751,ۗ
0x06D8,1752,ۘ
0x06D9,1753,ۙ
0x06DA,1754,ۚ
0x06DB,1755,ۛ
0x06DC,1756,ۜ
0x06DD,1757,۝
0x06DE,1758,۞
0x06DF,1759,۟
0x06E0,1760,۠
0x06E1,1761,ۡ
0x06E2,1762,ۢ
0x06E3,1763,ۣ
0x06E4,1764,ۤ
0x06E5,1765,ۥ
0x06E6,1766,ۦ
0x06E7,1767,ۧ
0x06E8,1768,ۨ
0x06E9,1769,۩
0x06EA,1770,۪
0x06EB,1771,۫
0x06EC,1772,۬
0x06ED,1773,ۭ
0x06F0,1776,۰
0x06F1,1777,۱
0x06F2,1778,۲
0x06F3,1779,۳
0x06F4,1780,۴
0x06F5,1781,۵
0x06F6,1782,۶
0x06F7,1783,۷
0x06F8,1784,۸
0x06F9,1785,۹
0x06FA,1786,ۺ
0x06FB,1787,ۻ
0x06FC,1788,ۼ
0x06FD,1789,۽
0x06FE,1790,۾
,,
0x0700,1792,܀
0x0701,1793,܁
0x0702,1794,܂
0x0703,1795,܃
0x0704,1796,܄
0x0705,1797,܅
0x0706,1798,܆
0x0707,1799,܇
0x0708,1800,܈
0x0709,1801,܉
0x070A,1802,܊
0x070B,1803,܋
0x070C,1804,܌
0x070D,1805,܍
0x070F,1807,܏
0x0710,1808,ܐ
0x0711,1809,ܑ
0x0712,1810,ܒ
0x0713,1811,ܓ
0x0714,1812,ܔ
0x0715,1813,ܕ
0x0716,1814,ܖ
0x0717,1815,ܗ
0x0718,1816,ܘ
0x0719,1817,ܙ
0x071A,1818,ܚ
0x071B,1819,ܛ
0x071C,1820,ܜ
0x071D,1821,ܝ
0x071E,1822,ܞ
0x071F,1823,ܟ
0x0720,1824,ܠ
0x0721,1825,ܡ
0x0722,1826,ܢ
0x0723,1827,ܣ
0x0724,1828,ܤ
0x0725,1829,ܥ
0x0726,1830,ܦ
0x0727,1831,ܧ
0x0728,1832,ܨ
0x0729,1833,ܩ
0x072A,1834,ܪ
0x072B,1835,ܫ
0x072C,1836,ܬ
0x0730,1840,ܰ
0x0731,1841,ܱ
0x0732,1842,ܲ
0x0733,1843,ܳ
0x0734,1844,ܴ
0x0735,1845,ܵ
0x0736,1846,ܶ
0x0737,1847,ܷ
0x0738,1848,ܸ
0x0739,1849,ܹ
0x073A,1850,ܺ
0x073B,1851,ܻ
0x073C,1852,ܼ
0x073D,1853,ܽ
0x073E,1854,ܾ
0x073F,1855,ܿ
0x0740,1856,݀
0x0741,1857,݁
0x0742,1858,݂
0x0743,1859,݃
0x0744,1860,݄
0x0745,1861,݅
0x0746,1862,݆
0x0747,1863,݇
0x0748,1864,݈
0x0749,1865,݉
0x074A,1866,݊
,,
0x0780,1920,ހ
0x0781,1921,ށ
0x0782,1922,ނ
0x0783,1923,ރ
0x0784,1924,ބ
0x0785,1925,ޅ
0x0786,1926,ކ
0x0787,1927,އ
0x0788,1928,ވ
0x0789,1929,މ
0x078A,1930,ފ
0x078B,1931,ދ
0x078C,1932,ތ
0x078D,1933,ލ
0x078E,1934,ގ
0x078F,1935,ޏ
0x0790,1936,ސ
0x0791,1937,ޑ
0x0792,1938,ޒ
0x0793,1939,ޓ
0x0794,1940,ޔ
0x0795,1941,ޕ
0x0796,1942,ޖ
0x0797,1943,ޗ
0x0798,1944,ޘ
0x0799,1945,ޙ
0x079A,1946,ޚ
0x079B,1947,ޛ
0x079C,1948,ޜ
0x079D,1949,ޝ
0x079E,1950,ޞ
0x079F,1951,ޟ
0x07A0,1952,ޠ
0x07A1,1953,ޡ
0x07A2,1954,ޢ
0x07A3,1955,ޣ
0x07A4,1956,ޤ
0x07A5,1957,ޥ
0x07A6,1958,ަ
0x07A7,1959,ާ
0x07A8,1960,ި
0x07A9,1961,ީ
0x07AA,1962,ު
0x07AB,1963,ޫ
0x07AC,1964,ެ
0x07AD,1965,ޭ
0x07AE,1966,ޮ
0x07AF,1967,ޯ
0x07B0,1968,ް
,,
0x0901,2305,ँ
0x0902,2306,ं
0x0903,2307,ः
0x0905,2309,अ
0x0906,2310,आ
0x0907,2311,इ
0x0908,2312,ई
0x0909,2313,उ
0x090A,2314,ऊ
0x090B,2315,ऋ
0x090C,2316,ऌ
0x090D,2317,ऍ
0x090E,2318,ऎ
0x090F,2319,ए
0x0910,2320,ऐ
0x0911,2321,ऑ
0x0912,2322,ऒ
0x0913,2323,ओ
0x0914,2324,औ
0x0915,2325,क
0x0916,2326,ख
0x0917,2327,ग
0x0918,2328,घ
0x0919,2329,ङ
0x091A,2330,च
0x091B,2331,छ
0x091C,2332,ज
0x091D,2333,झ
0x091E,2334,ञ
0x091F,2335,ट
0x0920,2336,ठ
0x0921,2337,ड
0x0922,2338,ढ
0x0923,2339,ण
0x0924,2340,त
0x0925,2341,थ
0x0926,2342,द
0x0927,2343,ध
0x0928,2344,न
0x0929,2345,ऩ
0x092A,2346,प
0x092B,2347,फ
0x092C,2348,ब
0x092D,2349,भ
0x092E,2350,म
0x092F,2351,य
0x0930,2352,र
0x0931,2353,ऱ
0x0932,2354,ल
0x0933,2355,ळ
0x0934,2356,ऴ
0x0935,2357,व
0x0936,2358,श
0x0937,2359,ष
0x0938,2360,स
0x0939,2361,ह
0x093C,2364,़
0x093D,2365,ऽ
0x093E,2366,ा
0x093F,2367,ि
0x0940,2368,ी
0x0941,2369,ु
0x0942,2370,ू
0x0943,2371,ृ
0x0944,2372,ॄ
0x0945,2373,ॅ
0x0946,2374,ॆ
0x0947,2375,े
0x0948,2376,ै
0x0949,2377,ॉ
0x094A,2378,ॊ
0x094B,2379,ो
0x094C,2380,ौ
0x094D,2381,्
0x0950,2384,ॐ
0x0951,2385,॑
0x0952,2386,॒
0x0953,2387,॓
0x0954,2388,॔
0x0958,2392,क़
0x0959,2393,ख़
0x095A,2394,ग़
0x095B,2395,ज़
0x095C,2396,ड़
0x095D,2397,ढ़
0x095E,2398,फ़
0x095F,2399,य़
0x0960,2400,ॠ
0x0961,2401,ॡ
0x0962,2402,ॢ
0x0963,2403,ॣ
0x0964,2404,।
0x0965,2405,॥
0x0966,2406,०
0x0967,2407,१
0x0968,2408,२
0x0969,2409,३
0x096A,2410,४
0x096B,2411,५
0x096C,2412,६
0x096D,2413,७
0x096E,2414,८
0x096F,2415,९
0x0970,2416,॰
,,
0x0981,2433,ঁ
0x0982,2434,ং
0x0983,2435,ঃ
0x0985,2437,অ
0x0986,2438,আ
0x0987,2439,ই
0x0988,2440,ঈ
0x0989,2441,উ
0x098A,2442,ঊ
0x098B,2443,ঋ
0x098C,2444,ঌ
0x098F,2447,এ
0x0990,2448,ঐ
0x0993,2451,ও
0x0994,2452,ঔ
0x0995,2453,ক
0x0996,2454,খ
0x0997,2455,গ
0x0998,2456,ঘ
0x0999,2457,ঙ
0x099A,2458,চ
0x099B,2459,ছ
0x099C,2460,জ
0x099D,2461,ঝ
0x099E,2462,ঞ
0x099F,2463,ট
0x09A0,2464,ঠ
0x09A1,2465,ড
0x09A2,2466,ঢ
0x09A3,2467,ণ
0x09A4,2468,ত
0x09A5,2469,থ
0x09A6,2470,দ
0x09A7,2471,ধ
0x09A8,2472,ন
0x09AA,2474,প
0x09AB,2475,ফ
0x09AC,2476,ব
0x09AD,2477,ভ
0x09AE,2478,ম
0x09AF,2479,য
0x09B0,2480,র
0x09B2,2482,ল
0x09B6,2486,শ
0x09B7,2487,ষ
0x09B8,2488,স
0x09B9,2489,হ
0x09BC,2492,়
0x09BE,2494,া
0x09BF,2495,ি
0x09C0,2496,ী
0x09C1,2497,ু
0x09C2,2498,ূ
0x09C3,2499,ৃ
0x09C4,2500,ৄ
0x09C7,2503,ে
0x09C8,2504,ৈ
0x09CB,2507,ো
0x09CC,2508,ৌ
0x09CD,2509,্
0x09D7,2519,ৗ
0x09DC,2524,ড়
0x09DD,2525,ঢ়
0x09DF,2527,য়
0x09E0,2528,ৠ
0x09E1,2529,ৡ
0x09E2,2530,ৢ
0x09E3,2531,ৣ
0x09E6,2534,০
0x09E7,2535,১
0x09E8,2536,২
0x09E9,2537,৩
0x09EA,2538,৪
0x09EB,2539,৫
0x09EC,2540,৬
0x09ED,2541,৭
0x09EE,2542,৮
0x09EF,2543,৯
0x09F0,2544,ৰ
0x09F1,2545,ৱ
0x09F2,2546,৲
0x09F3,2547,৳
0x09F4,2548,৴
0x09F5,2549,৵
0x09F6,2550,৶
0x09F7,2551,৷
0x09F8,2552,৸
0x09F9,2553,৹
0x09FA,2554,৺
,,
0x0A02,2562,ਂ
0x0A05,2565,ਅ
0x0A06,2566,ਆ
0x0A07,2567,ਇ
0x0A08,2568,ਈ
0x0A09,2569,ਉ
0x0A0A,2570,ਊ
0x0A0F,2575,ਏ
0x0A10,2576,ਐ
0x0A13,2579,ਓ
0x0A14,2580,ਔ
0x0A15,2581,ਕ
0x0A16,2582,ਖ
0x0A17,2583,ਗ
0x0A18,2584,ਘ
0x0A19,2585,ਙ
0x0A1A,2586,ਚ
0x0A1B,2587,ਛ
0x0A1C,2588,ਜ
0x0A1D,2589,ਝ
0x0A1E,2590,ਞ
0x0A1F,2591,ਟ
0x0A20,2592,ਠ
0x0A21,2593,ਡ
0x0A22,2594,ਢ
0x0A23,2595,ਣ
0x0A24,2596,ਤ
0x0A25,2597,ਥ
0x0A26,2598,ਦ
0x0A27,2599,ਧ
0x0A28,2600,ਨ
0x0A2A,2602,ਪ
0x0A2B,2603,ਫ
0x0A2C,2604,ਬ
0x0A2D,2605,ਭ
0x0A2E,2606,ਮ
0x0A2F,2607,ਯ
0x0A30,2608,ਰ
0x0A32,2610,ਲ
0x0A33,2611,ਲ਼
0x0A35,2613,ਵ
0x0A36,2614,ਸ਼
0x0A38,2616,ਸ
0x0A39,2617,ਹ
0x0A3C,2620,਼
0x0A3E,2622,ਾ
0x0A3F,2623,ਿ
0x0A40,2624,ੀ
0x0A41,2625,ੁ
0x0A42,2626,ੂ
0x0A47,2631,ੇ
0x0A48,2632,ੈ
0x0A4B,2635,ੋ
0x0A4C,2636,ੌ
0x0A4D,2637,੍
0x0A59,2649,ਖ਼
0x0A5A,2650,ਗ਼
0x0A5B,2651,ਜ਼
0x0A5C,2652,ੜ
0x0A5E,2654,ਫ਼
0x0A66,2662,੦
0x0A67,2663,੧
0x0A68,2664,੨
0x0A69,2665,੩
0x0A6A,2666,੪
0x0A6B,2667,੫
0x0A6C,2668,੬
0x0A6D,2669,੭
0x0A6E,2670,੮
0x0A6F,2671,੯
0x0A70,2672,ੰ
0x0A71,2673,ੱ
0x0A72,2674,ੲ
0x0A73,2675,ੳ
0x0A74,2676,ੴ
,,
0x0A81,2689,ઁ
0x0A82,2690,ં
0x0A83,2691,ઃ
0x0A85,2693,અ
0x0A86,2694,આ
0x0A87,2695,ઇ
0x0A88,2696,ઈ
0x0A89,2697,ઉ
0x0A8A,2698,ઊ
0x0A8B,2699,ઋ
0x0A8D,2701,ઍ
0x0A8F,2703,એ
0x0A90,2704,ઐ
0x0A91,2705,ઑ
0x0A93,2707,ઓ
0x0A94,2708,ઔ
0x0A95,2709,ક
0x0A96,2710,ખ
0x0A97,2711,ગ
0x0A98,2712,ઘ
0x0A99,2713,ઙ
0x0A9A,2714,ચ
0x0A9B,2715,છ
0x0A9C,2716,જ
0x0A9D,2717,ઝ
0x0A9E,2718,ઞ
0x0A9F,2719,ટ
0x0AA0,2720,ઠ
0x0AA1,2721,ડ
0x0AA2,2722,ઢ
0x0AA3,2723,ણ
0x0AA4,2724,ત
0x0AA5,2725,થ
0x0AA6,2726,દ
0x0AA7,2727,ધ
0x0AA8,2728,ન
0x0AAA,2730,પ
0x0AAB,2731,ફ
0x0AAC,2732,બ
0x0AAD,2733,ભ
0x0AAE,2734,મ
0x0AAF,2735,ય
0x0AB0,2736,ર
0x0AB2,2738,લ
0x0AB3,2739,ળ
0x0AB5,2741,વ
0x0AB6,2742,શ
0x0AB7,2743,ષ
0x0AB8,2744,સ
0x0AB9,2745,હ
0x0ABC,2748,઼
0x0ABD,2749,ઽ
0x0ABE,2750,ા
0x0ABF,2751,િ
0x0AC0,2752,ી
0x0AC1,2753,ુ
0x0AC2,2754,ૂ
0x0AC3,2755,ૃ
0x0AC4,2756,ૄ
0x0AC5,2757,ૅ
0x0AC7,2759,ે
0x0AC8,2760,ૈ
0x0AC9,2761,ૉ
0x0ACB,2763,ો
0x0ACC,2764,ૌ
0x0ACD,2765,્
0x0AD0,2768,ૐ
0x0AE0,2784,ૠ
0x0AE6,2790,૦
0x0AE7,2791,૧
0x0AE8,2792,૨
0x0AE9,2793,૩
0x0AEA,2794,૪
0x0AEB,2795,૫
0x0AEC,2796,૬
0x0AED,2797,૭
0x0AEE,2798,૮
0x0AEF,2799,૯
,,
0x0B01,2817,ଁ
0x0B02,2818,ଂ
0x0B03,2819,ଃ
0x0B05,2821,ଅ
0x0B06,2822,ଆ
0x0B07,2823,ଇ
0x0B08,2824,ଈ
0x0B09,2825,ଉ
0x0B0A,2826,ଊ
0x0B0B,2827,ଋ
0x0B0C,2828,ଌ
0x0B0F,2831,ଏ
0x0B10,2832,ଐ
0x0B13,2835,ଓ
0x0B14,2836,ଔ
0x0B15,2837,କ
0x0B16,2838,ଖ
0x0B17,2839,ଗ
0x0B18,2840,ଘ
0x0B19,2841,ଙ
0x0B1A,2842,ଚ
0x0B1B,2843,ଛ
0x0B1C,2844,ଜ
0x0B1D,2845,ଝ
0x0B1E,2846,ଞ
0x0B1F,2847,ଟ
0x0B20,2848,ଠ
0x0B21,2849,ଡ
0x0B22,2850,ଢ
0x0B23,2851,ଣ
0x0B24,2852,ତ
0x0B25,2853,ଥ
0x0B26,2854,ଦ
0x0B27,2855,ଧ
0x0B28,2856,ନ
0x0B2A,2858,ପ
0x0B2B,2859,ଫ
0x0B2C,2860,ବ
0x0B2D,2861,ଭ
0x0B2E,2862,ମ
0x0B2F,2863,ଯ
0x0B30,2864,ର
0x0B32,2866,ଲ
0x0B33,2867,ଳ
0x0B36,2870,ଶ
0x0B37,2871,ଷ
0x0B38,2872,ସ
0x0B39,2873,ହ
0x0B3C,2876,଼
0x0B3D,2877,ଽ
0x0B3E,2878,ା
0x0B3F,2879,ି
0x0B40,2880,ୀ
0x0B41,2881,ୁ
0x0B42,2882,ୂ
0x0B43,2883,ୃ
0x0B47,2887,େ
0x0B48,2888,ୈ
0x0B4B,2891,ୋ
0x0B4C,2892,ୌ
0x0B4D,2893,୍
0x0B56,2902,ୖ
0x0B57,2903,ୗ
0x0B5C,2908,ଡ଼
0x0B5D,2909,ଢ଼
0x0B5F,2911,ୟ
0x0B60,2912,ୠ
0x0B61,2913,ୡ
0x0B66,2918,୦
0x0B67,2919,୧
0x0B68,2920,୨
0x0B69,2921,୩
0x0B6A,2922,୪
0x0B6B,2923,୫
0x0B6C,2924,୬
0x0B6D,2925,୭
0x0B6E,2926,୮
0x0B6F,2927,୯
0x0B70,2928,୰
,,
0x0B82,2946,ஂ
0x0B83,2947,ஃ
0x0B85,2949,அ
0x0B86,2950,ஆ
0x0B87,2951,இ
0x0B88,2952,ஈ
0x0B89,2953,உ
0x0B8A,2954,ஊ
0x0B8E,2958,எ
0x0B8F,2959,ஏ
0x0B90,2960,ஐ
0x0B92,2962,ஒ
0x0B93,2963,ஓ
0x0B94,2964,ஔ
0x0B95,2965,க
0x0B99,2969,ங
0x0B9A,2970,ச
0x0B9C,2972,ஜ
0x0B9E,2974,ஞ
0x0B9F,2975,ட
0x0BA3,2979,ண
0x0BA4,2980,த
0x0BA8,2984,ந
0x0BA9,2985,ன
0x0BAA,2986,ப
0x0BAE,2990,ம
0x0BAF,2991,ய
0x0BB0,2992,ர
0x0BB1,2993,ற
0x0BB2,2994,ல
0x0BB3,2995,ள
0x0BB4,2996,ழ
0x0BB5,2997,வ
0x0BB7,2999,ஷ
0x0BB8,3000,ஸ
0x0BB9,3001,ஹ
0x0BBE,3006,ா
0x0BBF,3007,ி
0x0BC0,3008,ீ
0x0BC1,3009,ு
0x0BC2,3010,ூ
0x0BC6,3014,ெ
0x0BC7,3015,ே
0x0BC8,3016,ை
0x0BCA,3018,ொ
0x0BCB,3019,ோ
0x0BCC,3020,ௌ
0x0BCD,3021,்
0x0BD7,3031,ௗ
0x0BE7,3047,௧
0x0BE8,3048,௨
0x0BE9,3049,௩
0x0BEA,3050,௪
0x0BEB,3051,௫
0x0BEC,3052,௬
0x0BED,3053,௭
0x0BEE,3054,௮
0x0BEF,3055,௯
0x0BF0,3056,௰
0x0BF1,3057,௱
0x0BF2,3058,௲
,,
0x0C01,3073,ఁ
0x0C02,3074,ం
0x0C03,3075,ః
0x0C05,3077,అ
0x0C06,3078,ఆ
0x0C07,3079,ఇ
0x0C08,3080,ఈ
0x0C09,3081,ఉ
0x0C0A,3082,ఊ
0x0C0B,3083,ఋ
0x0C0C,3084,ఌ
0x0C0E,3086,ఎ
0x0C0F,3087,ఏ
0x0C10,3088,ఐ
0x0C12,3090,ఒ
0x0C13,3091,ఓ
0x0C14,3092,ఔ
0x0C15,3093,క
0x0C16,3094,ఖ
0x0C17,3095,గ
0x0C18,3096,ఘ
0x0C19,3097,ఙ
0x0C1A,3098,చ
0x0C1B,3099,ఛ
0x0C1C,3100,జ
0x0C1D,3101,ఝ
0x0C1E,3102,ఞ
0x0C1F,3103,ట
0x0C20,3104,ఠ
0x0C21,3105,డ
0x0C22,3106,ఢ
0x0C23,3107,ణ
0x0C24,3108,త
0x0C25,3109,థ
0x0C26,3110,ద
0x0C27,3111,ధ
0x0C28,3112,న
0x0C2A,3114,ప
