Position,Decimal,Appearance
0x00AA,170,Ş
0x00AB,171,«
0x00AC,172,¬
0x00AD,173,­
0x00AE,174,®
0x00AF,175,Ż
0x00B0,176,°
0x00B1,177,±
0x00B2,178,˛
0x00B3,179,ł
0x00B4,180,´
0x00B5,181,µ
0x00B6,182,¶
0x00B7,183,·
0x00B8,184,¸
0x00B9,185,ą
0x00BA,186,ş
0x00BB,187,»
0x00BC,188,Ľ
0x00BD,189,˝
0x00BE,190,ľ
0x00BF,191,ż
0x00C0,192,Ŕ
0x00C1,193,Á
0x00C2,194,Â
0x00C3,195,Ă
0x00C4,196,Ä
0x00C5,197,Ĺ
0x00C6,198,Ć
0x00C7,199,Ç
0x00C8,200,Č
0x00C9,201,É
0x00CA,202,Ę
0x00CB,203,Ë
0x00CC,204,Ě
0x00CD,205,Í
0x00CE,206,Î
0x00CF,207,Ď
0x00D0,208,Đ
0x00D1,209,Ń
0x00D2,210,Ň
0x00D3,211,Ó
0x00D4,212,Ô
0x00D5,213,Ő
0x00D6,214,Ö
0x00D7,215,×
0x00D8,216,Ř
0x00D9,217,Ů
0x00DA,218,Ú
0x00DB,219,Ű
0x00DC,220,Ü
0x00DD,221,Ý
0x00DE,222,Ţ
0x00DF,223,ß
0x00E0,224,ŕ
0x00E1,225,á
0x00E2,226,â
0x00E3,227,ă
0x00E4,228,ä
0x00E5,229,ĺ
0x00E6,230,ć
0x00E7,231,ç
0x00E8,232,č
0x00E9,233,é
0x00EA,234,ę
0x00EB,235,ë
0x00EC,236,ě
0x00ED,237,í
0x00EE,238,î
0x00EF,239,ď
0x00F0,240,đ
0x00F1,241,ń
0x00F2,242,ň
0x00F3,243,ó
0x00F4,244,ô
0x00F5,245,ő
0x00F6,246,ö
0x00F7,247,÷
0x00F8,248,ř
0x00F9,249,ů
0x00FA,250,ú
0x00FB,251,ű
0x00FC,252,ü
0x00FD,253,ý
0x00FE,254,ţ
0x00FF,255,˙
,,
0x0100,256,Ā
0x0101,257,ā
0x0102,258,Ă
0x0103,259,ă
0x0104,260,Ą
0x0105,261,ą
0x0106,262,Ć
0x0107,263,ć
0x0108,264,Ĉ
0x0109,265,ĉ
0x010A,266,Ċ
0x010B,267,ċ
0x010C,268,Č
0x010D,269,č
0x010E,270,Ď
0x010F,271,ď
0x0110,272,Đ
0x0111,273,đ
0x0112,274,Ē
0x0113,275,ē
0x0114,276,Ĕ
0x0115,277,ĕ
0x0116,278,Ė
0x0117,279,ė
0x0118,280,Ę
0x0119,281,ę
0x011A,282,Ě
0x011B,283,ě
0x011C,284,Ĝ
0x011D,285,ĝ
0x011E,286,Ğ
0x011F,287,ğ
0x0120,288,Ġ
0x0121,289,ġ
0x0122,290,Ģ
0x0123,291,ģ
0x0124,292,Ĥ
0x0125,293,ĥ
0x0126,294,Ħ
0x0127,295,ħ
0x0128,296,Ĩ
0x0129,297,ĩ
0x012A,298,Ī
0x012B,299,ī
0x012C,300,Ĭ
0x012D,301,ĭ
0x012E,302,Į
0x012F,303,į
0x0130,304,İ
0x0131,305,ı
0x0132,306,Ĳ
0x0133,307,ĳ
0x0134,308,Ĵ
0x0135,309,ĵ
0x0136,310,Ķ
0x0137,311,ķ
0x0138,312,ĸ
0x0139,313,Ĺ
0x013A,314,ĺ
0x013B,315,Ļ
0x013C,316,ļ
0x013D,317,Ľ
0x013E,318,ľ
0x013F,319,Ŀ
0x0140,320,ŀ
0x0141,321,Ł
0x0142,322,ł
0x0143,323,Ń
0x0144,324,ń
0x0145,325,Ņ
0x0146,326,ņ
0x0147,327,Ň
0x0148,328,ň
0x0149,329,ŉ
0x014A,330,Ŋ
0x014B,331,ŋ
0x014C,332,Ō
0x014D,333,ō
0x014E,334,Ŏ
0x014F,335,ŏ
0x0150,336,Ő
0x0151,337,ő
0x0152,338,Œ
0x0153,339,œ
0x0154,340,Ŕ
0x0155,341,ŕ
0x0156,342,Ŗ
0x0157,343,ŗ
0x0158,344,Ř
0x0159,345,ř
0x015A,346,Ś
0x015B,347,ś
0x015C,348,Ŝ
0x015D,349,ŝ
0x015E,350,Ş
0x015F,351,ş
0x0160,352,Š
0x0161,353,š
0x0162,354,Ţ
0x0163,355,ţ
0x0164,356,Ť
0x0165,357,ť
0x0166,358,Ŧ
0x0167,359,ŧ
0x0168,360,Ũ
0x0169,361,ũ
0x016A,362,Ū
0x016B,363,ū
0x016C,364,Ŭ
0x016D,365,ŭ
0x016E,366,Ů
0x016F,367,ů
0x0170,368,Ű
0x0171,369,ű
0x0172,370,Ų
0x0173,371,ų
0x0174,372,Ŵ
0x0175,373,ŵ
0x0176,374,Ŷ
0x0177,375,ŷ
0x0178,376,Ÿ
0x0179,377,Ź
0x017A,378,ź
0x017B,379,Ż
0x017C,380,ż
0x017D,381,Ž
0x017E,382,ž
0x017F,383,ſ
,,
0x0180,384,ƀ
0x0181,385,Ɓ
0x0182,386,Ƃ
0x0183,387,ƃ
0x0184,388,Ƅ
0x0185,389,ƅ
0x0186,390,Ɔ
0x0187,391,Ƈ
0x0188,392,ƈ
0x0189,393,Ɖ
0x018A,394,Ɗ
0x018B,395,Ƌ
0x018C,396,ƌ
0x018D,397,ƍ
0x018E,398,Ǝ
0x018F,399,Ə
0x0190,400,Ɛ
0x0191,401,Ƒ
0x0192,402,ƒ
0x0193,403,Ɠ
0x0194,404,Ɣ
0x0195,405,ƕ
0x0196,406,Ɩ
0x0197,407,Ɨ
0x0198,408,Ƙ
0x0199,409,ƙ
0x019A,410,ƚ
0x019B,411,ƛ
0x019C,412,Ɯ
0x019D,413,Ɲ
0x019E,414,ƞ
0x019F,415,Ɵ
0x01A0,416,Ơ
0x01A1,417,ơ
0x01A2,418,Ƣ
0x01A3,419,ƣ
0x01A4,420,Ƥ
0x01A5,421,ƥ
0x01A6,422,Ʀ
0x01A7,423,Ƨ
0x01A8,424,ƨ
0x01A9,425,Ʃ
0x01AA,426,ƪ
0x01AB,427,ƫ
0x01AC,428,Ƭ
0x01AD,429,ƭ
0x01AE,430,Ʈ
0x01AF,431,Ư
0x01B0,432,ư
0x01B1,433,Ʊ
0x01B2,434,Ʋ
0x01B3,435,Ƴ
0x01B4,436,ƴ
0x01B5,437,Ƶ
0x01B6,438,ƶ
0x01B7,439,Ʒ
0x01B8,440,Ƹ
0x01B9,441,ƹ
0x01BA,442,ƺ
0x01BB,443,ƻ
0x01BC,444,Ƽ
0x01BD,445,ƽ
0x01BE,446,ƾ
0x01BF,447,ƿ
0x01C0,448,ǀ
0x01C1,449,ǁ
0x01C2,450,ǂ
0x01C3,451,ǃ
0x01C4,452,Ǆ
0x01C5,453,ǅ
0x01C6,454,ǆ
0x01C7,455,Ǉ
0x01C8,456,ǈ
0x01C9,457,ǉ
0x01CA,458,Ǌ
0x01CB,459,ǋ
0x01CC,460,ǌ
0x01CD,461,Ǎ
0x01CE,462,ǎ
0x01CF,463,Ǐ
0x01D0,464,ǐ
0x01D1,465,Ǒ
0x01D2,466,ǒ
0x01D3,467,Ǔ
0x01D4,468,ǔ
0x01D5,469,Ǖ
0x01D6,470,ǖ
0x01D7,471,Ǘ
0x01D8,472,ǘ
0x01D9,473,Ǚ
0x01DA,474,ǚ
0x01DB,475,Ǜ
0x01DC,476,ǜ
0x01DD,477,ǝ
0x01DE,478,Ǟ
0x01DF,479,ǟ
0x01E0,480,Ǡ
0x01E1,481,ǡ
0x01E2,482,Ǣ
0x01E3,483,ǣ
0x01E4,484,Ǥ
0x01E5,485,ǥ
0x01E6,486,Ǧ
0x01E7,487,ǧ
0x01E8,488,Ǩ
0x01E9,489,ǩ
0x01EA,490,Ǫ
0x01EB,491,ǫ
0x01EC,492,Ǭ
0x01ED,493,ǭ
0x01EE,494,Ǯ
0x01EF,495,ǯ
0x01F0,496,ǰ
0x01F1,497,Ǳ
0x01F2,498,ǲ
0x01F3,499,ǳ
0x01F4,500,Ǵ
0x01F5,501,ǵ
0x01F6,502,Ƕ
0x01F7,503,Ƿ
0x01F8,504,Ǹ
0x01F9,505,ǹ
0x01FA,506,Ǻ
0x01FB,507,ǻ
0x01FC,508,Ǽ
0x01FD,509,ǽ
0x01FE,510,Ǿ
0x01FF,511,ǿ
0x0200,512,Ȁ
0x0201,513,ȁ
0x0202,514,Ȃ
0x0203,515,ȃ
0x0204,516,Ȅ
0x0205,517,ȅ
0x0206,518,Ȇ
0x0207,519,ȇ
0x0208,520,Ȉ
0x0209,521,ȉ
0x020A,522,Ȋ
0x020B,523,ȋ
0x020C,524,Ȍ
0x020D,525,ȍ
0x020E,526,Ȏ
0x020F,527,ȏ
0x0210,528,Ȑ
0x0211,529,ȑ
0x0212,530,Ȓ
0x0213,531,ȓ
0x0214,532,Ȕ
0x0215,533,ȕ
0x0216,534,Ȗ
0x0217,535,ȗ
0x0218,536,Ș
0x0219,537,ș
0x021A,538,Ț
0x021B,539,ț
0x021C,540,Ȝ
0x021D,541,ȝ
0x021E,542,Ȟ
0x021F,543,ȟ
0x0222,546,Ȣ
0x0223,547,ȣ
0x0224,548,Ȥ
0x0225,549,ȥ
0x0226,550,Ȧ
0x0227,551,ȧ
0x0228,552,Ȩ
0x0229,553,ȩ
0x022A,554,Ȫ
0x022B,555,ȫ
0x022C,556,Ȭ
0x022D,557,ȭ
0x022E,558,Ȯ
0x022F,559,ȯ
0x0230,560,Ȱ
0x0231,561,ȱ
0x0232,562,Ȳ
0x0233,563,ȳ
,,
0x0250,592,ɐ
0x0251,593,ɑ
0x0252,594,ɒ
0x0253,595,ɓ
0x0254,596,ɔ
0x0255,597,ɕ
0x0256,598,ɖ
0x0257,599,ɗ
0x0258,600,ɘ
0x0259,601,ə
0x025A,602,ɚ
0x025B,603,ɛ
0x025C,604,ɜ
0x025D,605,ɝ
0x025E,606,ɞ
0x025F,607,ɟ
0x0260,608,ɠ
0x0261,609,ɡ
0x0262,610,ɢ
0x0263,611,ɣ
0x0264,612,ɤ
0x0265,613,ɥ
0x0266,614,ɦ
0x0267,615,ɧ
0x0268,616,ɨ
0x0269,617,ɩ
0x026A,618,ɪ
0x026B,619,ɫ
0x026C,620,ɬ
0x026D,621,ɭ
0x026E,622,ɮ
0x026F,623,ɯ
0x0270,624,ɰ
0x0271,625,ɱ
0x0272,626,ɲ
0x0273,627,ɳ
0x0274,628,ɴ
0x0275,629,ɵ
0x0276,630,ɶ
0x0277,631,ɷ
0x0278,632,ɸ
0x0279,633,ɹ
0x027A,634,ɺ
0x027B,635,ɻ
0x027C,636,ɼ
0x027D,637,ɽ
0x027E,638,ɾ
0x027F,639,ɿ
0x0280,640,ʀ
0x0281,641,ʁ
0x0282,642,ʂ
0x0283,643,ʃ
0x0284,644,ʄ
0x0285,645,ʅ
0x0286,646,ʆ
0x0287,647,ʇ
0x0288,648,ʈ
0x0289,649,ʉ
0x028A,650,ʊ
0x028B,651,ʋ
0x028C,652,ʌ
0x028D,653,ʍ
0x028E,654,ʎ
0x028F,655,ʏ
0x0290,656,ʐ
0x0291,657,ʑ
0x0292,658,ʒ
0x0293,659,ʓ
0x0294,660,ʔ
0x0295,661,ʕ
0x0296,662,ʖ
0x0297,663,ʗ
0x0298,664,ʘ
0x0299,665,ʙ
0x029A,666,ʚ
0x029B,667,ʛ
